year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,exp_to_gdp,res_rents
2005,GRC,0.0262395004857051,0.025432938654617,0.0889363716997801,0.115175055679846,50.9008641205698,0.177173210558881
2006,GRC,0.0342929601170776,0.0376816300064388,0.0960412828876993,0.134320285203814,52.8502386406672,0.246337127835742
2007,GRC,0.0357711546277501,0.0352418949378243,0.0824748650281228,0.11822998384956,57.5243742223839,0.366454068000583
2008,GRC,0.0294564554404356,0.0554524893586629,0.0801152500777072,0.135874166686127,59.3297157210787,0.410186306982103
2009,GRC,0.0251333704586378,0.056016182884051,0.0976608885349435,0.154929097300501,47.7438465419344,0.135333304982564
2010,GRC,0.0314891393763184,0.0785116331938906,0.0965228253690711,0.176688374598415,52.8290979327057,0.320277329807885
2011,GRC,0.0366182159102808,0.0851680008723348,0.0922101044803911,0.179889896232511,57.8446200446513,0.443985478685632
2012,GRC,0.0361405732248816,0.107434383675438,0.0957946341626039,0.207246569409183,,
2013,GRC,0.0339702205197484,0.114972255256389,0.0977880387962008,0.215245314817762,,
2014,GRC,0.0308120872847041,0.101245742238591,0.0865908680958305,0.188477266267238,,
2015,GRC,0.0382616110989268,0.0896146980176844,0.110485959456546,0.201286143882686,,
2016,GRC,0.0380181578214802,0.0849289657522055,0.123998384287539,0.210339858188521,,
1962,GRC,0.0488544532223982,0.00210007776159794,0.861049774772956,0.863149852534554,,
1963,GRC,0.0439316664734747,0.00228274954557603,0.868904397126666,0.871288124608484,,
1964,GRC,0.048939042593925,0.00158098557012099,0.84236262325297,0.844371642412803,,
1965,GRC,0.0508940144423237,0.00116795197082187,0.819209210851459,0.82072958003465,,
1966,GRC,0.0705121856469332,0.00697892176636407,0.773463035810914,0.780472792943826,,
1967,GRC,0.0985594941156997,0.0123771599605295,0.731596175902674,0.744131287619443,,
1968,GRC,0.109612212651145,0.0133842453162587,0.696854432833329,0.71094205941888,,
1969,GRC,0.10443250731404,0.0131297639450285,0.596895063073748,0.61028827547822,,
1970,GRC,0.0901936384038586,0.0113126011833625,0.540556102936668,0.55214209517108,,
1971,GRC,0.0943048101238233,0.00846009522063387,0.545834220916256,0.554465787321426,,
1972,GRC,0.0836426896117818,0.0204767035303454,0.526287700265572,0.546978549562969,,
1973,GRC,0.0673304503399667,0.138920008571394,0.422799113673603,0.56235958448404,,
1974,GRC,0.0714260271812503,0.104117427915724,0.39005627271436,0.496010253378152,,
1975,GRC,0.0568033053183527,0.119481759177477,0.370857462951226,0.491135067517652,,
1976,GRC,0.0648809095776622,0.0697167008300287,0.379787884761965,0.450449947299952,,
1977,GRC,0.0634952216825385,0.0794245603643486,0.373691083372599,0.453356303406204,,
1978,GRC,0.0627923615322052,0.0917772113620316,0.358960118829496,0.451356976330633,,
1979,GRC,0.0655869654474175,0.127119944548158,0.328094207318059,0.455584137801896,,
1980,GRC,0.0404933804588868,0.0911135065277886,0.178194865799218,0.269407507142139,,
1981,GRC,0.0378532225711272,0.102999567046422,0.167807447734852,0.270820857827432,,
1982,GRC,0.0337443775582068,0.104162817455272,0.183134903094916,0.287359253397861,,
1983,GRC,0.035895503022531,0.109103155638536,0.217756742338245,0.326877249369389,,
1984,GRC,0.0387087794337066,0.0881326502436264,0.22493900837854,0.313138238369225,,
1985,GRC,0.0391498067648439,0.0917700219803189,0.226648853861611,0.318672686724094,,
1986,GRC,0.0308818350148349,0.0555739755932659,0.229605304061044,0.285179510120868,,
1987,GRC,0.033654286127639,0.0567734396314709,0.214267967171066,0.271042561184442,,
1988,HUN,0.0430467273363038,0.0391387503735417,0.239421069972122,0.281072448242843,,
1989,HUN,0.0457329506128613,0.0364881567091947,0.238804586497589,0.27838295805903,,
1990,HUN,0.0281577691888291,0.0197849108933522,0.128719213688419,0.150393592872056,,
1991,HUN,0.0262335844563383,0.02584391484313,0.159499834382268,0.187356789959353,,
1992,HUN,0.0349318975846521,0.0250334131856311,0.22168104121452,0.248369687791838,,
1993,HUN,0.0332193606942575,0.0258815977591324,0.19085590533316,0.218003399810519,,
1994,HUN,0.0320163094286649,0.0246154416426521,0.181103501035064,0.20718232928549,,
1995,HUN,0.0349821156428796,0.0175936500878974,0.160462372552073,0.179919859271339,,
1996,HUN,0.0294002304254888,0.0174415208815621,0.134651015747921,0.158149529133406,,
1997,HUN,0.026526845686427,0.0125373952995562,0.113321111282686,0.130932570590382,,
1998,HUN,0.0232468865673302,0.00960798610924377,0.0982595049851224,0.112633829734314,,
1999,HUN,0.0197836850006207,0.00941851240456284,0.0804402648484356,0.0936554089570062,,
2000,HUN,0.0200441648564796,0.0109334248513251,0.0703277759425114,0.0835177245318206,,
2001,HUN,0.0188100098770506,0.011898939791083,0.0697772193063837,0.0844065701948391,,
2002,HUN,0.0165579506030659,0.0112973102562591,0.0683850225461483,0.0813305652872946,,
2003,HUN,0.0150923076419115,0.0111916211583661,0.0663268567034926,0.0782447276909243,,
2004,HUN,0.0157239965360955,0.014112557518397,0.0639916540325464,0.0789489205781506,,
2005,HUN,0.0172434404145796,0.01927241198668,0.0644835275059056,0.0860500829187996,127.353678299707,0.452444916898466
2006,HUN,0.020398438519498,0.016260774383609,0.062553615507195,0.082032613038743,149.052826370595,0.549955538364248
2007,HUN,0.0220927575615994,0.0165947292499823,0.068035004231058,0.0908751855646683,155.20008517063,0.459989981656951
2008,HUN,0.0226590972354589,0.0181035772020443,0.0745964279472065,0.100401209308638,158.207962673611,0.607690831745279
2009,HUN,0.0182399695399614,0.012270238559366,0.0766923925126628,0.0965248605018107,144.781390101437,0.478696386427146
2010,HUN,0.0198569503321311,0.0161568971039269,0.076581651939161,0.0981906226525951,158.352697867102,0.449203401363718
2011,HUN,0.0243081975949302,0.0205182477767299,0.0795628765731563,0.107692646266079,167.38804373993,0.614944445758261
2012,HUN,0.0238774146302463,0.0237262665448231,0.0916452639784673,0.121921441103037,,
2013,HUN,0.0202489403642806,0.0222713224205636,0.0876823075905953,0.114765660969757,,
2014,HUN,0.0179178378698705,0.0209835934074611,0.07871674506036,0.104613500991207,,
2015,HUN,0.0168333025117022,0.0132525851325196,0.0743630960755323,0.0933637195819843,,
2016,HUN,0.0152883620533377,0.00950259344397672,0.0713338758944394,0.085679653973403,,
1962,HUN,0.0224605569260778,0.0306128916491408,0.473912567880324,0.506161547967045,,
1963,HUN,0.0360918711865044,0.0383092295212738,0.486585452482493,0.535537762812943,,
1964,HUN,0.0179280899392096,0.0181970899150252,0.187639336713212,0.20793517641315,,
1965,HUN,0.0185163627323826,0.0142441021324514,0.196586339569742,0.212416156906662,,
1966,HUN,0.0342764571232275,0.018204868751969,0.327175424964415,0.348853379708053,,
1967,HUN,0.0217696354008134,0.0183568756730743,0.2065964798511,0.226666367927276,,
1968,HUN,0.0292332213207681,0.0184441495703421,0.218647542948721,0.239155409541024,,
1969,HUN,0.0382925873392712,0.0141033028720178,0.231781287632491,0.251324141966849,,
1970,HUN,0.0345910075347784,0.00897148111986063,0.237517521643817,0.248474319353155,,
1971,HUN,0.0293968122560001,0.00471444703181742,0.196224700976325,0.20281144224642,,
1972,HUN,0.0258621819756864,0.0061750151811393,0.202425602229732,0.209500198775939,,
1973,HUN,0.0377343053816499,0.00520534009373071,0.204127819917859,0.210200632691015,,
1974,HUN,0.036593206501076,0.0100130154513626,0.18574064390094,0.197060040613023,,
1975,HUN,0.0242355180760334,0.00587992230203961,0.156224927512323,0.163220514164147,,
1976,HUN,0.0303463434690547,0.0121963710733764,0.217305625779672,0.232896815531125,,
1977,HUN,0.0268576344712894,0.0206015739938534,0.209402001739716,0.232871962479827,,
1978,HUN,0.0282751649315749,0.0218903160851194,0.267003206812409,0.301221704492953,,
1979,HUN,0.039043766923838,0.0302937891985353,0.268680168399907,0.318878768542842,,
1980,HUN,0.0330675117481751,0.0324496598392261,0.263797356527166,0.305362968197031,,
1981,HUN,0.0366390741029055,0.0337086298884039,0.258774937621887,0.307716127845522,,
1982,HUN,0.026008573860389,0.0233868399852951,0.27202970438655,0.303468381134465,,
1983,HUN,0.0169950565778295,0.0353431813166415,0.254376834399058,0.28974209473871,,
1984,HUN,0.022101005010465,0.0420464925775068,0.223449509821132,0.265532678572278,,
1985,HUN,0.0202709911315521,0.0422056754750597,0.152167009180263,0.194388575064774,,
1986,HUN,0.0175653472367581,0.037488079919132,0.200762082148797,0.238268693665713,,
1987,HUN,0.0209881336641452,0.0350277873272692,0.158094861438085,0.193319701669503,,
1988,IRL,0.0256426077043164,0.00321462508132319,0.320478097941205,0.326023749941651,,
