iso2c,country,year,ne.trd.gnfs.zs,ne.exp.gnfs.zs,NE.IMP.GNFS.ZS
EE,Estonia,1973,,,
EE,Estonia,1974,,,
EE,Estonia,1975,,,
EE,Estonia,1976,,,
EE,Estonia,1977,,,
EE,Estonia,1978,,,
EE,Estonia,1979,,,
EE,Estonia,1980,,,
EE,Estonia,1981,,,
EE,Estonia,1982,,,
EE,Estonia,1983,,,
EE,Estonia,1984,,,
EE,Estonia,1985,,,
EE,Estonia,1986,,,
EE,Estonia,1987,,,
EE,Estonia,1988,,,
EE,Estonia,1989,,,
EE,Estonia,1990,,,
EE,Estonia,1991,,,
EE,Estonia,1992,,,
EE,Estonia,1993,,,
EE,Estonia,1994,,,
EE,Estonia,1995,143.199538241939,67.8496884399518,75.349849801987
EE,Estonia,1996,134.095635423038,61.7945389722772,72.3010964507611
EE,Estonia,1997,153.680464299774,71.6074053647034,82.0730589350708
EE,Estonia,1998,158.42896511035,74.3811771304456,84.0477879799046
EE,Estonia,1999,144.871763313331,70.2322712544099,74.6394920589214
EE,Estonia,2000,126.513531193199,61.6361238077949,64.877407385404
EE,Estonia,2001,126.650968812222,61.3459162142177,65.3050525980039
EE,Estonia,2002,124.091364253749,58.3192386281315,65.7721256256174
EE,Estonia,2003,123.278054748719,57.395627832979,65.8824269157401
EE,Estonia,2004,130.912750625614,61.5182283428432,69.3945222827712
EE,Estonia,2005,136.916600732803,65.9058939990884,71.0107067337142
EE,Estonia,2006,137.121408242474,63.4885392231032,73.6328690193704
EE,Estonia,2007,135.265677640421,63.1956987780916,72.0699788623291
EE,Estonia,2008,137.522953096137,66.7977432058297,70.7252098903072
EE,Estonia,2009,116.649645201599,60.8047113869508,55.8449338146481
EE,Estonia,2010,143.800151545203,75.0782302117066,68.7219213334967
EE,Estonia,2011,167.349949217147,86.5397252728219,80.810223944325
EE,Estonia,2012,170.428334269953,85.9894385872615,84.4388956826911
EE,Estonia,2013,165.79450131349,84.3030815040284,81.4914198094612
EE,Estonia,2014,160.048872879047,81.802388001185,78.2464848778619
EE,Estonia,2015,150.682554425408,77.3450043271335,73.3375500982742
EE,Estonia,2016,151.127621098361,77.5997859265041,73.5278351718573
ES,Spain,1962,18.4227807217947,8.30365360888558,10.1191271129091
ES,Spain,1963,18.4923453291345,7.71228856854201,10.7800567605925
ES,Spain,1964,20.1953893064895,8.81175933993521,11.3836299665543
ES,Spain,1965,21.339131482055,8.1931597903261,13.1459716917289
ES,Spain,1966,22.4491043901193,8.89285036672404,13.5562540233952
ES,Spain,1967,20.4347228294671,8.55111556951094,11.8836072599562
ES,Spain,1968,23.1690212865005,10.5686127545785,12.600408531922
ES,Spain,1969,24.4614859064338,11.3329121651617,13.1285737412721
ES,Spain,1970,25.8499835480875,12.1887969624684,13.6611865856191
ES,Spain,1971,25.9287886400268,13.0758457472537,12.8529428927731
ES,Spain,1972,27.2146600553767,13.4030631370601,13.8115969183166
ES,Spain,1973,28.1388966248621,13.3854050745402,14.753491550322
ES,Spain,1974,31.7185343975355,13.2478876729355,18.4706467245999
ES,Spain,1975,29.1090517334833,12.4351873071661,16.6738644263171
ES,Spain,1976,30.0997697037556,12.6271673974381,17.4726023063175
ES,Spain,1977,29.1926121980085,13.3154237443095,15.8771884536989
ES,Spain,1978,27.7617411939919,13.9461351969023,13.8156059970896
ES,Spain,1979,27.871061397348,13.7699079963076,14.1011534010404
ES,Spain,1980,31.5916735996418,14.3593638033134,17.2323097963284
ES,Spain,1981,35.4168495107948,16.3615840189913,19.0552654918035
ES,Spain,1982,36.5674274315524,17.0585707842789,19.5088566472735
ES,Spain,1983,39.8151110411926,19.1668444229071,20.6482666182855
ES,Spain,1984,41.599692925074,21.4052734448062,20.1944194802678
ES,Spain,1985,40.9232996201669,20.9648523137106,19.9584473064563
ES,Spain,1986,35.3974101432591,18.2846381009534,17.1127720423056
ES,Spain,1987,36.3646225041333,17.8098881836858,18.5547343204475
ES,Spain,1988,36.7543485799745,17.3858076537009,19.3685409262735
ES,Spain,1989,37.4187119446568,16.6820374179764,20.7366745266804
ES,Spain,1990,35.6429965830852,15.8002473589132,19.842749224172
ES,Spain,1991,35.5113418967612,15.8363413401505,19.6750005566107
ES,Spain,1992,36.012533326518,16.2652184428755,19.7473148836425
ES,Spain,1993,36.9930776907673,17.7938566180114,19.1992210727559
ES,Spain,1994,41.6956042634468,20.408590200644,21.2870140628029
ES,Spain,1995,44.8302662315468,21.9318278301117,22.8984384014351
ES,Spain,1996,46.3284234167773,23.1184117772423,23.2100116395351
ES,Spain,1997,51.2922522772942,25.7537414414467,25.5385108358476
ES,Spain,1998,52.8642232899311,26.1832135469874,26.6810097429437
ES,Spain,1999,54.7380518108212,26.3972364869867,28.3408153238345
ES,Spain,2000,60.237833655706,28.616170212766,31.62166344294
ES,Spain,2001,58.0741585754966,27.8622156654201,30.2119429100765
ES,Spain,2002,54.9828637319695,26.4771356274223,28.5057281045473
ES,Spain,2003,53.1113716470518,25.4473086803274,27.6640629667244
ES,Spain,2004,54.2124631422535,25.1788906688955,29.0335724733579
ES,Spain,2005,54.335103582121,24.6677828332434,29.6673207488776
ES,Spain,2006,55.6592729574374,24.8719709040114,30.787302053426
ES,Spain,2007,57.406456471877,25.7077350535294,31.6987214183476
ES,Spain,2008,55.7579341082667,25.3164908508589,30.4414432574078
ES,Spain,2009,46.4972031004993,22.6734207433933,23.8237823571061
ES,Spain,2010,52.3435729252915,25.5192957948443,26.8242771304473
ES,Spain,2011,58.0860928451519,28.9201073568194,29.1659854883325
ES,Spain,2012,59.9311415973034,30.6999802849545,29.2311613123488
ES,Spain,2013,61.1796122231506,32.2175348764201,28.9620773467305
ES,Spain,2014,62.9964733768862,32.7129945462604,30.2834788306257
ES,Spain,2015,63.5372954174432,32.9353058968798,30.6019895205635
ES,Spain,2016,63.0778471909992,33.1156485448401,29.9621986461591
FI,Finland,1962,41.3582384698107,19.9202838835224,21.4379545862883
FI,Finland,1963,38.4806586956932,19.0730336089066,19.4076250867866
FI,Finland,1964,40.1685661285452,18.969808468418,21.1987576601272
FI,Finland,1965,40.0569308252083,19.0117305039287,21.0452003212796
FI,Finland,1966,39.3287643183973,18.6973418368438,20.6314224815535
FI,Finland,1967,38.3132564956308,18.5242368210111,19.7890196746197
FI,Finland,1968,41.5364907443325,21.3040894265704,20.2324013177622
FI,Finland,1969,44.9820990066287,22.7032684355149,22.2788305711138
FI,Finland,1970,49.3846910419816,23.8523447816625,25.5323462603191
FI,Finland,1971,47.4072297388356,22.5513427363596,24.8558870024761
FI,Finland,1972,47.7548605987513,23.6355806872824,24.1192799114689
FI,Finland,1973,48.4717251472445,23.5867284508131,24.8849966964314
FI,Finland,1974,55.173929890715,25.6618413311753,29.5120885595397
FI,Finland,1975,50.2952150476094,22.1171810778112,28.1780339697981
FI,Finland,1976,49.2315135968167,23.5295545470567,25.70195904976
FI,Finland,1977,52.3510959037745,26.8313671287548,25.5197287750197
FI,Finland,1978,52.5868763215572,27.8396427661616,24.7472335553956
FI,Finland,1979,58.0703964693199,29.5566242899138,28.5137721794061
FI,Finland,1980,62.9000653167864,30.7998337390891,32.1002315776973
FI,Finland,1981,61.5530004725154,31.2647661048984,30.2882343676169
FI,Finland,1982,57.5377647031356,28.8552683803787,28.6824963227569
FI,Finland,1983,57.3739275999163,28.6817325800377,28.6921950198786
FI,Finland,1984,56.5591237055591,29.46465288422,27.0944708213391
FI,Finland,1985,55.2697949729776,27.969460410054,27.3003345629236
FI,Finland,1986,49.9458080969079,25.6279885240676,24.3178195728403
FI,Finland,1987,49.4531446030317,24.9856090685008,24.4675355345309
FI,Finland,1988,48.138207780702,23.8958230189958,24.2423847617062
FI,Finland,1989,47.8534604149938,23.0131853041464,24.8402751108473
FI,Finland,1990,45.8158444127019,22.1338314470937,23.6820129656082
FI,Finland,1991,43.4569122145305,21.2541109910076,22.2028012235229
FI,Finland,1992,50.2003488426908,25.5232640362042,24.6770848064866
FI,Finland,1993,58.1377991323413,31.3663292438308,26.7714698885105
FI,Finland,1994,62.4151683412656,34.0285122510136,28.3866560902521
FI,Finland,1995,64.0691586509193,35.7624091886846,28.3067494622347
FI,Finland,1996,65.7368214775622,36.3276504017245,29.4091710758377
FI,Finland,1997,68.2638299409417,37.8009355415485,30.4628943993932
FI,Finland,1998,67.018324998754,37.4673954577927,29.5509295409613
FI,Finland,1999,66.2362219613466,37.6023258195914,28.6338961417552
FI,Finland,2000,74.994312385789,42.0868773897153,32.9074349960737
FI,Finland,2001,70.2659290901916,39.7128159682076,30.553113121984
FI,Finland,2002,69.2903721786512,39.0858391384391,30.204533040212
FI,Finland,2003,68.0376594158436,37.2661955940859,30.7714638217577
FI,Finland,2004,70.9913741426201,38.5891959085546,32.4021782340655
FI,Finland,2005,76.6277138703182,40.2556163200253,36.3720975502929
FI,Finland,2006,82.1827893450126,43.1708899625755,39.0118993824371
FI,Finland,2007,83.1759422029756,43.9968057282511,39.1791364747245
FI,Finland,2008,86.5118656142398,45.0779769863353,41.4338886279045
FI,Finland,2009,70.5312408509134,36.2709842069503,34.2602566439631
FI,Finland,2010,76.089791555318,38.6777124532336,37.4120791020844
FI,Finland,2011,79.1699048605926,39.1595426400297,40.0103622205629
FI,Finland,2012,80.4057199201173,39.4813632109233,40.924356709194
FI,Finland,2013,78.5136078844092,38.8141911497113,39.6994167346979
FI,Finland,2014,75.3744999367317,37.2222276297731,38.1522723069585
FI,Finland,2015,73.181489102271,36.3616445663771,36.8198445358939
FI,Finland,2016,72.7698509300098,35.8675077404396,36.9023431895702
FR,France,1962,24.9498746402477,12.8329879563643,12.1168866838833
FR,France,1963,25.0628561336022,12.5957667651555,12.4670893684467
